# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.cachedValueWithParameters.total.get.count,1772989101926000000,1772989138355000000,0
workspaceModel.cachedValue.calculated.count,1772989101926000000,1772989138355000000,14
workspaceModel.cachedValue.from.cache.count,1772989101926000000,1772989138355000000,81
workspaceModel.workspaceFileIndexData.init.ms,1772989101926000000,1772989138355000000,156
workspaceModel.cachedValue.total.get.count,1772989101926000000,1772989138355000000,95
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1772989101926000000,1772989138355000000,6
workspaceModel.workspaceFileIndexData.markDirty.ms,1772989101926000000,1772989138355000000,0
workspaceModel.update.unloaded.entities.ms,1772989101926000000,1772989138355000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1772989101926000000,1772989138355000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1772989101926000000,1772989138355000000,20
workspaceModel.workspaceFileIndexData.getPackageName.ms,1772989101926000000,1772989138355000000,77
workspaceModel.updates.precise.ms,1772989101926000000,1772989138355000000,78
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1772989101926000000,1772989138355000000,298
workspaceModel.cachedValueWithParameters.calculated.count,1772989101926000000,1772989138355000000,0
workspaceModel.to.snapshot.ms,1772989101926000000,1772989138355000000,1
workspaceModel.workspaceFileIndexData.processFileSets.ms,1772989101926000000,1772989138355000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1772989101926000000,1772989138355000000,321
workspaceModel.init.bridges.ms,1772989101926000000,1772989138355000000,11
workspaceModel.collect.changes.ms,1772989101926000000,1772989138355000000,0
workspaceModel.on.before.changed.ms,1772989101926000000,1772989138355000000,102
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1772989101926000000,1772989138355000000,2
workspaceModel.on.changed.ms,1772989101926000000,1772989138355000000,451
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1772989101926000000,1772989138355000000,0
workspaceModel.updates.ms,1772989101926000000,1772989138355000000,656
workspaceModel.updates.count,1772989101926000000,1772989138355000000,3
workspaceModel.full.replace.project.model.ms,1772989101926000000,1772989138355000000,16
workspaceModel.cachedValueWithParameters.clear.count,1772989101926000000,1772989138355000000,0
workspaceModel.pre.handlers.ms,1772989101926000000,1772989138355000000,1
workspaceModel.loading.from.cache.ms,1772989101926000000,1772989138355000000,953
workspaceModel.check.recursive.update.ms,1772989101926000000,1772989138355000000,1
workspaceModel.initializing.ms,1772989101926000000,1772989138355000000,10
workspaceModel.cachedValue.clear.count,1772989101926000000,1772989138355000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1772989101926000000,1772989138355000000,2297
workspaceModel.workspaceFileIndexData.instances.count,1772989101926000000,1772989138355000000,1
workspaceModel.loading.total.ms,1772989101926000000,1772989138355000000,1003
workspaceModel.replace.project.model.ms,1772989101926000000,1772989138355000000,0
Indexes.stubs.lookupDurationAvgMs,1772989101926000000,1772989138355000000,1.5834891798022976
Indexing.writer_2.totalTimeSpentWritingMs,1772989101926000000,1772989138355000000,0
Indexes.entries.lookupDuration90PMs,1772989101926000000,1772989138355000000,3.0
Indexing.cache.totalCacheMisses,1772989101926000000,1772989138355000000,4450
Indexing.cache.totalCacheAccesses,1772989101926000000,1772989138355000000,15457
Indexing.cache.totalCacheEvicted,1772989101926000000,1772989138355000000,4450
Indexes.allKeys.lookupDurationAvgMs,1772989101926000000,1772989138355000000,0.0
Indexing.totalTimeIndexersSleptMs,1772989101926000000,1772989138355000000,0
Indexes.allKeys.lookups,1772989101926000000,1772989138355000000,0
Indexes.stubs.lookupDurationMaxMs,1772989101926000000,1772989138355000000,607.0
Indexing.writesQueuedAvg,1772989101926000000,1772989138355000000,0.0
Indexes.entries.lookups,1772989101926000000,1772989138355000000,939
Indexes.stubs.lookupDuration90PMs,1772989101926000000,1772989138355000000,4.0
Indexes.entries.lookupDurationAvgMs,1772989101926000000,1772989138355000000,1.0263713080168777
Indexing.writesQueuedMax,1772989101926000000,1772989138355000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1772989101926000000,1772989138355000000,0
Indexing.writesQueuedMin,1772989101926000000,1772989138355000000,0
Indexes.entries.lookupDurationMaxMs,1772989101926000000,1772989138355000000,78.0
Indexing.writer_1.totalTimeSpentWritingMs,1772989101926000000,1772989138355000000,0
Indexes.stubs.lookups,1772989101926000000,1772989138355000000,3709
Indexes.allKeys.lookupDurationMaxMs,1772989101926000000,1772989138355000000,0.0
Indexes.allKeys.lookupDuration90PMs,1772989101926000000,1772989138355000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1772989101926000000,1772989138355000000,0
VFS.fileChildByName,1772989101926000000,1772989138355000000,5092
VFS.folderCaseSensitivityReads,1772989101926000000,1772989138355000000,0
VFS.invertedFileNameIndex.requests,1772989101926000000,1772989138355000000,8
VFS.fileByIdCache.hits,1772989101926000000,1772989138355000000,0
VFS.fileByIdCache.misses,1772989101926000000,1772989138355000000,2018
lexer.JAVA.time.ns,1772989101926000000,1772989138355000000,15995778
