# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.stubs.lookups,1772988722766000000,1772988783093000000,2657
Indexes.entries.lookupDuration90PMs,1772988722766000000,1772988783093000000,0.0
Indexes.allKeys.lookupDuration90PMs,1772988722766000000,1772988783093000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1772988722766000000,1772988783093000000,0.0
Indexes.entries.lookups,1772988722766000000,1772988783093000000,601
Indexes.stubs.lookupDuration90PMs,1772988722766000000,1772988783093000000,0.0
Indexes.entries.lookupDurationMaxMs,1772988722766000000,1772988783093000000,0.0
Indexes.entries.lookupDurationAvgMs,1772988722766000000,1772988783093000000,0.0
Indexing.cache.totalCacheEvicted,1772988722766000000,1772988783093000000,3797
Indexing.writesQueuedMin,1772988722766000000,1772988783093000000,9223372036854775807
Indexing.writesQueuedMax,1772988722766000000,1772988783093000000,0
Indexes.stubs.lookupDurationAvgMs,1772988722766000000,1772988783093000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1772988722766000000,1772988783093000000,0.0
Indexes.stubs.lookupDurationMaxMs,1772988722766000000,1772988783093000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1772988722766000000,1772988783093000000,0
Indexes.allKeys.lookups,1772988722766000000,1772988783093000000,0
Indexing.cache.totalCacheMisses,1772988722766000000,1772988783093000000,4448
Indexing.totalTimeIndexersSleptMs,1772988722766000000,1772988783093000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1772988722766000000,1772988783093000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1772988722766000000,1772988783093000000,0
Indexing.cache.totalCacheAccesses,1772988722766000000,1772988783093000000,13872
Indexing.writer_2.totalTimeSpentWritingMs,1772988722766000000,1772988783093000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1772988722766000000,1772988783093000000,0
compiler.ArtifactManagerBridge.commit.ms,1772988722766000000,1772988783093000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1772988722766000000,1772988783093000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1772988722766000000,1772988783093000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1772988722766000000,1772988783093000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1772988722766000000,1772988783093000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1772988722766000000,1772988783093000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1772988722766000000,1772988783093000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1772988722766000000,1772988783093000000,0
VFS.fileChildByName,1772988722766000000,1772988783093000000,7471
FileNameCache.totalMisses,1772988722766000000,1772988783093000000,44736
VFS.contentStorage.recordsReadSize,1772988722766000000,1772988783093000000,425179
VFS.fileByIdCache.hits,1772988722766000000,1772988783093000000,0
FileNameCache.queries,1772988722766000000,1772988783093000000,2699392
VFS.contentStorage.recordsStoredSize,1772988722766000000,1772988783093000000,707
VFS.invertedFileNameIndex.requests,1772988722766000000,1772988783093000000,8
VFS.contentStorage.recordsStoredCompressed,1772988722766000000,1772988783093000000,0
VFS.contentStorage.recordsRead,1772988722766000000,1772988783093000000,16
VFS.contentStorage.recordsStored,1772988722766000000,1772988783093000000,1
VFS.contentStorage.recordsDecompressionTimeUs,1772988722766000000,1772988783093000000,1687
VFS.contentStorage.recordsUncompressedSize,1772988722766000000,1772988783093000000,707
VFS.fileByIdCache.misses,1772988722766000000,1772988783093000000,1016
VFS.contentStorage.recordsReadDecompressed,1772988722766000000,1772988783093000000,6
VFS.folderCaseSensitivityReads,1772988722766000000,1772988783093000000,1
VFS.contentStorage.recordsDeduplicated,1772988722766000000,1772988783093000000,0
MappedFileStorage.totalPagesMapped,1772988722766000000,1772988783093000000,15
FilePageCache.capacityInBytes,1772988722766000000,1772988783093000000,629145600
FilePageCache.maxCacheSizeInBytes,1772988722766000000,1772988783093000000,461389824
DirectByteBufferAllocator.misses,1772988722766000000,1772988783093000000,442
StorageLockContext.competingThreads.avg,1772988722766000000,1772988783093000000,0.0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1772988722766000000,1772988783093000000,806092
MappedFileStorage.storages,1772988722766000000,1772988783093000000,15
FilePageCache.pageHits,1772988722766000000,1772988783093000000,8
DirectByteBufferAllocator.disposed,1772988722766000000,1772988783093000000,0
StreamlinedBlobStorage.recordsDeleted,1772988722766000000,1772988783093000000,3
MappedFileStorage.totalTimeSpentOnMappingUs,1772988722766000000,1772988783093000000,55402
FilePageCache.totalPageLoadsUs,1772988722766000000,1772988783093000000,2181817
FilePageCache.disposedBuffers,1772988722766000000,1772988783093000000,3
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1772988722766000000,1772988783093000000,461389824
MappedFileStorage.totalBytesMapped,1772988722766000000,1772988783093000000,198443008
FilePageCache.pageLoads,1772988722766000000,1772988783093000000,445
FilePageCache.totalPageDisposalsUs,1772988722766000000,1772988783093000000,7011
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1772988722766000000,1772988783093000000,3200579
FileChannelInterruptsRetryer.totalRetriedAttempts,1772988722766000000,1772988783093000000,0
StorageLockContext.competingThreads.max,1772988722766000000,1772988783093000000,0
StreamlinedBlobStorage.recordsRelocated,1772988722766000000,1772988783093000000,0
DirectByteBufferAllocator.reclaimed,1772988722766000000,1772988783093000000,3
StreamlinedBlobStorage.recordsAllocated,1772988722766000000,1772988783093000000,41463
StorageLockContext.competingThreads.90P,1772988722766000000,1772988783093000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1772988722766000000,1772988783093000000,0
FilePageCache.pageFastCacheHits,1772988722766000000,1772988783093000000,11948
DirectByteBufferAllocator.hits,1772988722766000000,1772988783093000000,3
FilePageCache.maxRegisteredFiles,1772988722766000000,1772988783093000000,1025
FilePageCache.uncachedFileAccess,1772988722766000000,1772988783093000000,348
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1772988722766000000,1772988783093000000,0
JVM.totalTimeToSafepointsMs,1772988722766000000,1772988783093000000,206
JVM.totalCpuTimeMs,1772988722766000000,1772988783093000000,173740
JVM.totalDirectByteBuffersBytes,1772988722766000000,1772988783093000000,468747373
JVM.usedHeapBytes,1772988722766000000,1772988783093000000,564133888
JVM.totalSafepointCount,1772988722766000000,1772988783093000000,164
JVM.totalBytesAllocated,1772988722766000000,1772988783093000000,3321630840
JVM.GC.collectionTimesMs,1772988722766000000,1772988783093000000,1016
MEM.fileMappingsRamBytes,1772988722766000000,1772988783093000000,462655488
JVM.newThreadsCount,1772988722766000000,1772988783093000000,141
JVM.usedNativeBytes,1772988722766000000,1772988783093000000,428285144
JVM.totalTimeAtSafepointsMs,1772988722766000000,1772988783093000000,1077
JVM.threadCount,1772988722766000000,1772988783093000000,132
OS.loadAverage,1772988722766000000,1772988783093000000,5.15283203125
MEM.ramBytes,1772988722766000000,1772988783093000000,1747050496
MEM.ramMinusFileMappingsBytes,1772988722766000000,1772988783093000000,1284308992
JVM.maxThreadCount,1772988722766000000,1772988783093000000,133
JVM.GC.collections,1772988722766000000,1772988783093000000,46
JVM.maxHeapBytes,1772988722766000000,1772988783093000000,2147483648
JVM.committedHeapBytes,1772988722766000000,1772988783093000000,821035008
MEM.ramPlusSwapMinusFileMappingsBytes,1772988722766000000,1772988783093000000,1968287744
cacheStateStorage.get.counter,1772988722766000000,1772988783093000000,24
cacheStateStorage.set.counter,1772988722766000000,1772988783093000000,3
cacheStateStorage.get.duration,1772988722766000000,1772988783093000000,259
cacheStateStorage.set.duration,1772988722766000000,1772988783093000000,24
writeAction.count,1772988722766000000,1772988783093000000,24
DiskQueryRelay.tasksExecuted,1772988722766000000,1772988783093000000,3458
DiskQueryRelay.tasksRequested,1772988722766000000,1772988783093000000,9935
lexer.JAVA.time.ns,1772988722766000000,1772988783093000000,18072129
writeAction.max.wait.ms,1772988722766000000,1772988783093000000,39
parser.JAVA.time.ns,1772988722766000000,1772988783093000000,293360573
lexer.JAVA.size.bytes,1772988722766000000,1772988783093000000,240696
writeAction.wait.ms,1772988722766000000,1772988783093000000,124
DiskQueryRelay.taskExecutionTotalTimeUs,1772988722766000000,1772988783093000000,2188603
DiskQueryRelay.taskWaitingTotalTimeUs,1772988722766000000,1772988783093000000,6145269
parser.JAVA.size.bytes,1772988722766000000,1772988783093000000,242546
writeAction.median.wait.ms,1772988722766000000,1772988783093000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1772988722766000000,1772988783093000000,0
workspaceModel.init.bridges.ms,1772988722766000000,1772988783093000000,10
workspaceModel.update.unloaded.entities.ms,1772988722766000000,1772988783093000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1772988722766000000,1772988783093000000,5
workspaceModel.updates.precise.ms,1772988722766000000,1772988783093000000,77
workspaceModel.cachedValue.from.cache.count,1772988722766000000,1772988783093000000,85
workspaceModel.workspaceFileIndexData.init.ms,1772988722766000000,1772988783093000000,182
workspaceModel.cachedValueWithParameters.calculated.count,1772988722766000000,1772988783093000000,0
workspaceModel.updates.ms,1772988722766000000,1772988783093000000,323
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1772988722766000000,1772988783093000000,8
workspaceModel.on.before.changed.ms,1772988722766000000,1772988783093000000,66
workspaceModel.to.snapshot.ms,1772988722766000000,1772988783093000000,8
workspaceModel.cachedValueWithParameters.clear.count,1772988722766000000,1772988783093000000,0
workspaceModel.replace.project.model.ms,1772988722766000000,1772988783093000000,0
workspaceModel.check.recursive.update.ms,1772988722766000000,1772988783093000000,0
workspaceModel.cachedValue.clear.count,1772988722766000000,1772988783093000000,0
workspaceModel.full.replace.project.model.ms,1772988722766000000,1772988783093000000,8
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1772988722766000000,1772988783093000000,1868
workspaceModel.loading.total.ms,1772988722766000000,1772988783093000000,1723
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1772988722766000000,1772988783093000000,126
workspaceModel.workspaceFileIndexData.processFileSets.ms,1772988722766000000,1772988783093000000,0
workspaceModel.updates.count,1772988722766000000,1772988783093000000,3
workspaceModel.workspaceFileIndexData.markDirty.ms,1772988722766000000,1772988783093000000,0
