# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.moduleManagerBridge.create.module.instance.ms,1772987853399000000,1772987913727000000,0
workspaceModel.sync.entities.ms,1772987853399000000,1772987913727000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1772987853399000000,1772987913727000000,2
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1772987853399000000,1772987913727000000,1
jps.reload.project.entities.ms,1772987853399000000,1772987913727000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1772987853399000000,1772987913727000000,0
jps.global.get.libraries.ms,1772987853399000000,1772987913727000000,10
jps.global.handle.changed.events.ms,1772987853399000000,1772987913727000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1772987853399000000,1772987913727000000,0
workspaceModel.load.cache.from.file.ms,1772987853399000000,1772987913727000000,775
workspaceModel.moduleBridge.update.option.ms,1772987853399000000,1772987913727000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1772987853399000000,1772987913727000000,1
workspaceModel.mutableEntityStorage.resolve.ms,1772987853399000000,1772987913727000000,1
jps.load.project.to.empty.storage.ms,1772987853399000000,1772987913727000000,311
workspaceModel.moduleBridge.facet.initialization.ms,1772987853399000000,1772987913727000000,85
workspaceModel.delayed.project.synchronizer.sync.ms,1772987853399000000,1772987913727000000,410
jps.app.storage.content.reader.load.component.ms,1772987853399000000,1772987913727000000,61
jps.save.global.entities.ms,1772987853399000000,1772987913727000000,105
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1772987853399000000,1772987913727000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1772987853399000000,1772987913727000000,6
workspaceModel.mutableEntityStorage.modify.entity.ms,1772987853399000000,1772987913727000000,5
jps.app.storage.content.writer.save.component.ms,1772987853399000000,1772987913727000000,34
workspaceModel.moduleManagerBridge.load.all.modules.ms,1772987853399000000,1772987913727000000,68
workspaceModel.mutableEntityStorage.instances.count,1772987853399000000,1772987913727000000,28
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1772987853399000000,1772987913727000000,2
jps.save.changed.project.entities.ms,1772987853399000000,1772987913727000000,6
jps.global.get.library.ms,1772987853399000000,1772987913727000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1772987853399000000,1772987913727000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1772987853399000000,1772987913727000000,20
jps.apply.loaded.storage.ms,1772987853399000000,1772987913727000000,91
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1772987853399000000,1772987913727000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1772987853399000000,1772987913727000000,1
jps.facet.change.listener.before.change.events.ms,1772987853399000000,1772987913727000000,0
jps.module.iml.entities.serializer.save.entities.ms,1772987853399000000,1772987913727000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1772987853399000000,1772987913727000000,1
jps.project.serializers.save.ms,1772987853399000000,1772987913727000000,6
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1772987853399000000,1772987913727000000,33
workspaceModel.mutableEntityStorage.entities.ms,1772987853399000000,1772987913727000000,1
jps.library.entities.serializer.save.entities.ms,1772987853399000000,1772987913727000000,0
workspaceModel.global.updates.ms,1772987853399000000,1772987913727000000,22
workspaceModel.orphan.listener.update.ms,1772987853399000000,1772987913727000000,5
workspaceModel.mutableEntityStorage.add.entity.ms,1772987853399000000,1772987913727000000,120
jps.project.serializers.load.ms,1772987853399000000,1772987913727000000,189
jps.load.initial.state.ms,1772987853399000000,1772987913727000000,45
jps.global.handle.before.change.events.ms,1772987853399000000,1772987913727000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1772987853399000000,1772987913727000000,97
workspaceModel.mutableEntityStorage.collect.changes.ms,1772987853399000000,1772987913727000000,4
jps.facet.change.listener.process.change.events.ms,1772987853399000000,1772987913727000000,16
jps.artifact.entities.serializer.load.entities.ms,1772987853399000000,1772987913727000000,0
workspaceModel.load.cache.metadata.from.file.ms,1772987853399000000,1772987913727000000,73
workspaceModel.mutableEntityStorage.remove.entity.ms,1772987853399000000,1772987913727000000,0
jps.artifact.entities.serializer.save.entities.ms,1772987853399000000,1772987913727000000,0
workspaceModel.save.cache.to.file.ms,1772987853399000000,1772987913727000000,208
jps.global.get.library.by.name.ms,1772987853399000000,1772987913727000000,0
jps.storage.jps.conf.reader.load.component.ms,1772987853399000000,1772987913727000000,11
workspaceModel.mutableEntityStorage.has.same.entities.ms,1772987853399000000,1772987913727000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1772987853399000000,1772987913727000000,528
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1772987853399000000,1772987913727000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1772987853399000000,1772987913727000000,2
jps.global.initialize.library.bridges.after.loading.ms,1772987853399000000,1772987913727000000,2
workspaceModel.moduleBridge.before.changed.ms,1772987853399000000,1772987913727000000,0
jps.library.entities.serializer.load.entities.ms,1772987853399000000,1772987913727000000,15
workspaceModel.do.save.caches.ms,1772987853399000000,1772987913727000000,263
workspaceModel.global.apply.state.to.project.ms,1772987853399000000,1772987913727000000,314
workspaceModel.moduleManagerBridge.build.module.graph.ms,1772987853399000000,1772987913727000000,64
jps.facet.change.listener.init.bridge.ms,1772987853399000000,1772987913727000000,8
