# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.queueSizeMax,1772988562113000000,1772988622130000000,123
NonBlockingReadAction.failedExecutionTimeUs,1772988562113000000,1772988622130000000,0
NonBlockingReadAction.failedExecutionsCount,1772988562113000000,1772988622130000000,0
AWTEventQueue.dispatchTimeTotalNS,1772988562113000000,1772988622130000000,27432352504
FlushQueue.queueSizeAvg,1772988562113000000,1772988622130000000,19.645310690852952
NonBlockingReadAction.finalizedExecutionTimeUs,1772988562113000000,1772988622130000000,1902368
FlushQueue.queueSize90P,1772988562113000000,1772988622130000000,66
FlushQueue.tasksExecuted,1772988562113000000,1772988622130000000,2591
AWTEventQueue.dispatchTimeMaxNs,1772988562113000000,1772988622130000000,1275068415
FlushQueue.waitingTimeMaxNs,1772988562113000000,1772988622130000000,2181038079
AWTEventQueue.dispatchTime90PNs,1772988562113000000,1772988622130000000,11141119
FlushQueue.waitingTimeAvgNs,1772988562113000000,1772988622130000000,2.0255560368660748E8
ReadAction.executionsCount,1772988562113000000,1772988622130000000,102630
FlushQueue.executionTime90PNs,1772988562113000000,1772988622130000000,2441215
AWTEventQueue.dispatchTimeAvgNs,1772988562113000000,1772988622130000000,8595333.856471326
WriteAction.executionsCount,1772988562113000000,1772988622130000000,27
FlushQueue.executionTimeAvgNs,1772988562113000000,1772988622130000000,4478892.520262447
NonBlockingReadAction.finalizedExecutionsCount,1772988562113000000,1772988622130000000,19
AWTEventQueue.eventsDispatched,1772988562113000000,1772988622130000000,3191
FlushQueue.executionTimeMaxNs,1772988562113000000,1772988622130000000,1275068415
FlushQueue.waitingTime90PNs,1772988562113000000,1772988622130000000,796917759
cacheStateStorage.set.duration,1772988562113000000,1772988622130000000,19
cacheStateStorage.set.counter,1772988562113000000,1772988622130000000,3
cacheStateStorage.get.counter,1772988562113000000,1772988622130000000,23
cacheStateStorage.get.duration,1772988562113000000,1772988622130000000,339
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1772988562113000000,1772988622130000000,0
workspaceModel.cachedValue.clear.count,1772988562113000000,1772988622130000000,0
