# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.waitingTimeMaxNs,1772989366573000000,1772989426604000000,2038431743
NonBlockingReadAction.failedExecutionsCount,1772989366573000000,1772989426604000000,0
FlushQueue.tasksExecuted,1772989366573000000,1772989426604000000,1474
AWTEventQueue.dispatchTimeTotalNS,1772989366573000000,1772989426604000000,20451955335
FlushQueue.waitingTimeAvgNs,1772989366573000000,1772989426604000000,4.028700807109905E8
FlushQueue.queueSize90P,1772989366573000000,1772989426604000000,78
FlushQueue.executionTimeAvgNs,1772989366573000000,1772989426604000000,5736297.416553596
WriteAction.executionsCount,1772989366573000000,1772989426604000000,11
AWTEventQueue.dispatchTimeMaxNs,1772989366573000000,1772989426604000000,847249407
FlushQueue.queueSizeMax,1772989366573000000,1772989426604000000,126
FlushQueue.executionTimeMaxNs,1772989366573000000,1772989426604000000,847249407
FlushQueue.queueSizeAvg,1772989366573000000,1772989426604000000,32.850067842605156
ReadAction.executionsCount,1772989366573000000,1772989426604000000,55370
AWTEventQueue.eventsDispatched,1772989366573000000,1772989426604000000,2995
AWTEventQueue.dispatchTime90PNs,1772989366573000000,1772989426604000000,7897087
NonBlockingReadAction.finalizedExecutionTimeUs,1772989366573000000,1772989426604000000,853852
AWTEventQueue.dispatchTimeAvgNs,1772989366573000000,1772989426604000000,6829459.3175292155
NonBlockingReadAction.finalizedExecutionsCount,1772989366573000000,1772989426604000000,4
NonBlockingReadAction.failedExecutionTimeUs,1772989366573000000,1772989426604000000,0
FlushQueue.waitingTime90PNs,1772989366573000000,1772989426604000000,1098907647
FlushQueue.executionTime90PNs,1772989366573000000,1772989426604000000,3489791
workspaceModel.to.snapshot.ms,1772989366573000000,1772989426604000000,2
workspaceModel.on.changed.ms,1772989366573000000,1772989426604000000,105
workspaceModel.cachedValueWithParameters.from.cache.count,1772989366573000000,1772989426604000000,0
workspaceModel.cachedValue.total.get.count,1772989366573000000,1772989426604000000,91
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1772989366573000000,1772989426604000000,245
workspaceModel.updates.precise.ms,1772989366573000000,1772989426604000000,43
workspaceModel.updates.ms,1772989366573000000,1772989426604000000,236
workspaceModel.initializing.ms,1772989366573000000,1772989426604000000,12
workspaceModel.updates.count,1772989366573000000,1772989426604000000,3
workspaceModel.workspaceFileIndexData.markDirty.ms,1772989366573000000,1772989426604000000,0
workspaceModel.check.recursive.update.ms,1772989366573000000,1772989426604000000,7
workspaceModel.cachedValue.clear.count,1772989366573000000,1772989426604000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1772989366573000000,1772989426604000000,294
workspaceModel.cachedValueWithParameters.clear.count,1772989366573000000,1772989426604000000,0
workspaceModel.pre.handlers.ms,1772989366573000000,1772989426604000000,1
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1772989366573000000,1772989426604000000,23
workspaceModel.on.before.changed.ms,1772989366573000000,1772989426604000000,73
workspaceModel.cachedValueWithParameters.calculated.count,1772989366573000000,1772989426604000000,0
workspaceModel.update.unloaded.entities.ms,1772989366573000000,1772989426604000000,0
workspaceModel.replace.project.model.ms,1772989366573000000,1772989426604000000,0
workspaceModel.cachedValue.calculated.count,1772989366573000000,1772989426604000000,11
workspaceModel.workspaceFileIndexData.getPackageName.ms,1772989366573000000,1772989426604000000,91
workspaceModel.collect.changes.ms,1772989366573000000,1772989426604000000,0
workspaceModel.cachedValue.from.cache.count,1772989366573000000,1772989426604000000,80
workspaceModel.workspaceFileIndexData.instances.count,1772989366573000000,1772989426604000000,1
workspaceModel.init.bridges.ms,1772989366573000000,1772989426604000000,12
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1772989366573000000,1772989426604000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1772989366573000000,1772989426604000000,20
workspaceModel.workspaceFileIndexData.processFileSets.ms,1772989366573000000,1772989426604000000,0
workspaceModel.full.replace.project.model.ms,1772989366573000000,1772989426604000000,8
workspaceModel.loading.from.cache.ms,1772989366573000000,1772989426604000000,769
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1772989366573000000,1772989426604000000,2259
workspaceModel.cachedValueWithParameters.total.get.count,1772989366573000000,1772989426604000000,0
workspaceModel.loading.total.ms,1772989366573000000,1772989426604000000,791
workspaceModel.workspaceFileIndexData.init.ms,1772989366573000000,1772989426604000000,154
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1772989366573000000,1772989426604000000,2
VFS.contentStorage.recordsStored,1772989366573000000,1772989426604000000,0
VFS.contentStorage.recordsDeduplicated,1772989366573000000,1772989426604000000,0
VFS.fileByIdCache.hits,1772989366573000000,1772989426604000000,0
VFS.contentStorage.recordsUncompressedSize,1772989366573000000,1772989426604000000,0
VFS.folderCaseSensitivityReads,1772989366573000000,1772989426604000000,1
FileNameCache.totalMisses,1772989366573000000,1772989426604000000,42816
FileNameCache.queries,1772989366573000000,1772989426604000000,706496
VFS.contentStorage.recordsReadSize,1772989366573000000,1772989426604000000,489380
VFS.fileByIdCache.misses,1772989366573000000,1772989426604000000,1573
VFS.contentStorage.recordsReadDecompressed,1772989366573000000,1772989426604000000,6
VFS.contentStorage.recordsDecompressionTimeUs,1772989366573000000,1772989426604000000,1317
VFS.contentStorage.recordsStoredCompressed,1772989366573000000,1772989426604000000,0
VFS.fileChildByName,1772989366573000000,1772989426604000000,4098
