# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
compiler.ArtifactManagerBridge.addArtifact.ms,1772989472677000000,1772989532744000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1772989472677000000,1772989532744000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1772989472677000000,1772989532744000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1772989472677000000,1772989532744000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1772989472677000000,1772989532744000000,0
compiler.ArtifactManagerBridge.commit.ms,1772989472677000000,1772989532744000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1772989472677000000,1772989532744000000,0
VFS.folderCaseSensitivityReads,1772989472677000000,1772989532744000000,2
VFS.fileByIdCache.misses,1772989472677000000,1772989532744000000,1166
VFS.fileChildByName,1772989472677000000,1772989532744000000,4213
VFS.contentStorage.recordsReadSize,1772989472677000000,1772989532744000000,410121
VFS.contentStorage.recordsStored,1772989472677000000,1772989532744000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1772989472677000000,1772989532744000000,3849
VFS.contentStorage.recordsStoredSize,1772989472677000000,1772989532744000000,0
FileNameCache.totalMisses,1772989472677000000,1772989532744000000,41024
VFS.contentStorage.recordsRead,1772989472677000000,1772989532744000000,11
VFS.contentStorage.recordsStoredCompressed,1772989472677000000,1772989532744000000,0
VFS.contentStorage.recordsUncompressedSize,1772989472677000000,1772989532744000000,0
VFS.contentStorage.recordsDeduplicated,1772989472677000000,1772989532744000000,0
VFS.fileByIdCache.hits,1772989472677000000,1772989532744000000,0
FileNameCache.queries,1772989472677000000,1772989532744000000,906432
VFS.invertedFileNameIndex.requests,1772989472677000000,1772989532744000000,8
VFS.contentStorage.recordsReadDecompressed,1772989472677000000,1772989532744000000,5
cacheStateStorage.set.counter,1772989472677000000,1772989532744000000,3
cacheStateStorage.set.duration,1772989472677000000,1772989532744000000,89
cacheStateStorage.get.duration,1772989472677000000,1772989532744000000,326
cacheStateStorage.get.counter,1772989472677000000,1772989532744000000,24
workspaceModel.initializing.ms,1772989472677000000,1772989532744000000,10
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1772989472677000000,1772989532744000000,5
workspaceModel.collect.changes.ms,1772989472677000000,1772989532744000000,0
workspaceModel.update.unloaded.entities.ms,1772989472677000000,1772989532744000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1772989472677000000,1772989532744000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1772989472677000000,1772989532744000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1772989472677000000,1772989532744000000,20
workspaceModel.workspaceFileIndexData.getPackageName.ms,1772989472677000000,1772989532744000000,85
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1772989472677000000,1772989532744000000,8
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1772989472677000000,1772989532744000000,355
workspaceModel.replace.project.model.ms,1772989472677000000,1772989532744000000,0
