# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.newThreadsCount,1772987493694000000,1772987553999000000,144
JVM.usedNativeBytes,1772987493694000000,1772987553999000000,394833744
MEM.ramMinusFileMappingsBytes,1772987493694000000,1772987553999000000,1040146432
JVM.committedHeapBytes,1772987493694000000,1772987553999000000,517996544
JVM.maxHeapBytes,1772987493694000000,1772987553999000000,2147483648
JVM.GC.collections,1772987493694000000,1772987553999000000,76
JVM.GC.collectionTimesMs,1772987493694000000,1772987553999000000,2165
JVM.totalCpuTimeMs,1772987493694000000,1772987553999000000,207920
JVM.totalTimeToSafepointsMs,1772987493694000000,1772987553999000000,108
JVM.threadCount,1772987493694000000,1772987553999000000,133
MEM.ramPlusSwapMinusFileMappingsBytes,1772987493694000000,1772987553999000000,1118134272
JVM.totalDirectByteBuffersBytes,1772987493694000000,1772987553999000000,6971024
MEM.ramBytes,1772987493694000000,1772987553999000000,1312555008
MEM.fileMappingsRamBytes,1772987493694000000,1772987553999000000,272306176
JVM.totalTimeAtSafepointsMs,1772987493694000000,1772987553999000000,2230
JVM.usedHeapBytes,1772987493694000000,1772987553999000000,355794936
OS.loadAverage,1772987493694000000,1772987553999000000,5.0517578125
JVM.maxThreadCount,1772987493694000000,1772987553999000000,134
JVM.totalBytesAllocated,1772987493694000000,1772987553999000000,5477346144
JVM.totalSafepointCount,1772987493694000000,1772987553999000000,196
AWTEventQueue.eventsDispatched,1772987493694000000,1772987553999000000,0
FlushQueue.executionTimeMaxNs,1772987493694000000,1772987553999000000,0
FlushQueue.queueSizeAvg,1772987493694000000,1772987553999000000,0.0
NonBlockingReadAction.finalizedExecutionsCount,1772987493694000000,1772987553999000000,9
AWTEventQueue.dispatchTime90PNs,1772987493694000000,1772987553999000000,0
NonBlockingReadAction.failedExecutionTimeUs,1772987493694000000,1772987553999000000,0
AWTEventQueue.dispatchTimeAvgNs,1772987493694000000,1772987553999000000,0.0
FlushQueue.waitingTimeMaxNs,1772987493694000000,1772987553999000000,0
FlushQueue.queueSize90P,1772987493694000000,1772987553999000000,0
FlushQueue.tasksExecuted,1772987493694000000,1772987553999000000,0
FlushQueue.executionTimeAvgNs,1772987493694000000,1772987553999000000,0.0
AWTEventQueue.dispatchTimeMaxNs,1772987493694000000,1772987553999000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1772987493694000000,1772987553999000000,869253
FlushQueue.waitingTimeAvgNs,1772987493694000000,1772987553999000000,0.0
NonBlockingReadAction.failedExecutionsCount,1772987493694000000,1772987553999000000,0
WriteAction.executionsCount,1772987493694000000,1772987553999000000,17
FlushQueue.waitingTime90PNs,1772987493694000000,1772987553999000000,0
ReadAction.executionsCount,1772987493694000000,1772987553999000000,135148
FlushQueue.queueSizeMax,1772987493694000000,1772987553999000000,0
AWTEventQueue.dispatchTimeTotalNS,1772987493694000000,1772987553999000000,24946237672
FlushQueue.executionTime90PNs,1772987493694000000,1772987553999000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1772987493694000000,1772987553999000000,0
DirectByteBufferAllocator.misses,1772987493694000000,1772987553999000000,440
MappedFileStorage.totalTimeSpentOnMappingUs,1772987493694000000,1772987553999000000,60425
MappedFileStorage.storages,1772987493694000000,1772987553999000000,16
FilePageCache.totalPageDisposalsUs,1772987493694000000,1772987553999000000,21860
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1772987493694000000,1772987553999000000,3197944
FilePageCache.totalPageLoadsUs,1772987493694000000,1772987553999000000,2434879
StorageLockContext.competingThreads.avg,1772987493694000000,1772987553999000000,0.0
FilePageCache.pageHits,1772987493694000000,1772987553999000000,16
FileChannelInterruptsRetryer.totalRetriedAttempts,1772987493694000000,1772987553999000000,0
DirectByteBufferAllocator.hits,1772987493694000000,1772987553999000000,3
DirectByteBufferAllocator.reclaimed,1772987493694000000,1772987553999000000,45
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1772987493694000000,1772987553999000000,41959424
FilePageCache.disposedBuffers,1772987493694000000,1772987553999000000,443
StorageLockContext.competingThreads.max,1772987493694000000,1772987553999000000,0
FilePageCache.maxRegisteredFiles,1772987493694000000,1772987553999000000,1025
FilePageCache.maxCacheSizeInBytes,1772987493694000000,1772987553999000000,459292672
StreamlinedBlobStorage.recordsRelocated,1772987493694000000,1772987553999000000,0
FilePageCache.pageLoads,1772987493694000000,1772987553999000000,443
MappedFileStorage.totalPagesMapped,1772987493694000000,1772987553999000000,16
FilePageCache.capacityInBytes,1772987493694000000,1772987553999000000,629145600
StreamlinedBlobStorage.recordsAllocated,1772987493694000000,1772987553999000000,41462
StorageLockContext.competingThreads.90P,1772987493694000000,1772987553999000000,0
DirectByteBufferAllocator.disposed,1772987493694000000,1772987553999000000,440
MappedFileStorage.totalBytesMapped,1772987493694000000,1772987553999000000,202637312
FilePageCache.uncachedFileAccess,1772987493694000000,1772987553999000000,352
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1772987493694000000,1772987553999000000,884489
StreamlinedBlobStorage.recordsDeleted,1772987493694000000,1772987553999000000,3
FilePageCache.pageLoadsAboveSizeThreshold,1772987493694000000,1772987553999000000,0
FilePageCache.pageFastCacheHits,1772987493694000000,1772987553999000000,160229
jps.save.global.entities.ms,1772987493694000000,1772987553999000000,116
jps.artifact.entities.serializer.save.entities.ms,1772987493694000000,1772987553999000000,0
jps.facet.change.listener.process.change.events.ms,1772987493694000000,1772987553999000000,4
workspaceModel.moduleBridgeLoader.loading.modules.ms,1772987493694000000,1772987553999000000,520
workspaceModel.mutableEntityStorage.has.same.entities.ms,1772987493694000000,1772987553999000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1772987493694000000,1772987553999000000,0
workspaceModel.moduleBridge.update.option.ms,1772987493694000000,1772987553999000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1772987493694000000,1772987553999000000,2
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1772987493694000000,1772987553999000000,3
workspaceModel.sync.entities.ms,1772987493694000000,1772987553999000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1772987493694000000,1772987553999000000,11
jps.global.get.library.ms,1772987493694000000,1772987553999000000,0
jps.library.entities.serializer.load.entities.ms,1772987493694000000,1772987553999000000,1
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1772987493694000000,1772987553999000000,0
jps.global.handle.before.change.events.ms,1772987493694000000,1772987553999000000,0
workspaceModel.load.cache.metadata.from.file.ms,1772987493694000000,1772987553999000000,100
jps.project.serializers.save.ms,1772987493694000000,1772987553999000000,14
workspaceModel.mutableEntityStorage.add.entity.ms,1772987493694000000,1772987553999000000,80
workspaceModel.moduleManagerBridge.build.module.graph.ms,1772987493694000000,1772987553999000000,5
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1772987493694000000,1772987553999000000,0
jps.facet.change.listener.before.change.events.ms,1772987493694000000,1772987553999000000,0
jps.storage.jps.conf.reader.load.component.ms,1772987493694000000,1772987553999000000,14
workspaceModel.global.updates.count,1772987493694000000,1772987553999000000,1
jps.global.initialize.library.bridges.ms,1772987493694000000,1772987553999000000,2
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1772987493694000000,1772987553999000000,0
jps.library.entities.serializer.save.entities.ms,1772987493694000000,1772987553999000000,0
workspaceModel.orphan.listener.update.ms,1772987493694000000,1772987553999000000,6
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1772987493694000000,1772987553999000000,3
workspaceModel.do.save.caches.ms,1772987493694000000,1772987553999000000,219
workspaceModel.delayed.project.synchronizer.sync.ms,1772987493694000000,1772987553999000000,484
workspaceModel.moduleManagerBridge.load.module.ms,1772987493694000000,1772987553999000000,0
jps.app.storage.content.reader.load.component.ms,1772987493694000000,1772987553999000000,52
workspaceModel.moduleManagerBridge.create.module.instance.ms,1772987493694000000,1772987553999000000,0
workspaceModel.moduleBridge.before.changed.ms,1772987493694000000,1772987553999000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1772987493694000000,1772987553999000000,0
jps.apply.loaded.storage.ms,1772987493694000000,1772987553999000000,103
jps.app.storage.content.writer.save.component.ms,1772987493694000000,1772987553999000000,57
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1772987493694000000,1772987553999000000,34
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1772987493694000000,1772987553999000000,0
jps.global.handle.changed.events.ms,1772987493694000000,1772987553999000000,0
jps.save.changed.project.entities.ms,1772987493694000000,1772987553999000000,14
jps.artifact.entities.serializer.load.entities.ms,1772987493694000000,1772987553999000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1772987493694000000,1772987553999000000,109
jps.load.initial.state.ms,1772987493694000000,1772987553999000000,26
workspaceModel.load.cache.from.file.ms,1772987493694000000,1772987553999000000,779
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1772987493694000000,1772987553999000000,1
jps.load.project.to.empty.storage.ms,1772987493694000000,1772987553999000000,372
workspaceModel.moduleBridge.facet.initialization.ms,1772987493694000000,1772987553999000000,60
workspaceModel.mutableEntityStorage.modify.entity.ms,1772987493694000000,1772987553999000000,5
workspaceModel.mutableEntityStorage.referrers.ms,1772987493694000000,1772987553999000000,0
jps.global.get.libraries.ms,1772987493694000000,1772987553999000000,2
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1772987493694000000,1772987553999000000,0
workspaceModel.mutableEntityStorage.entities.ms,1772987493694000000,1772987553999000000,1
jps.global.get.library.by.name.ms,1772987493694000000,1772987553999000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1772987493694000000,1772987553999000000,17
jps.facet.change.listener.init.bridge.ms,1772987493694000000,1772987553999000000,3
jps.reload.project.entities.ms,1772987493694000000,1772987553999000000,0
workspaceModel.global.apply.state.to.project.ms,1772987493694000000,1772987553999000000,276
workspaceModel.mutableEntityStorage.put.entity.ms,1772987493694000000,1772987553999000000,16
jps.module.iml.entities.serializer.load.entities.ms,1772987493694000000,1772987553999000000,138
workspaceModel.moduleManagerBridge.newModule.ms,1772987493694000000,1772987553999000000,0
workspaceModel.global.updates.ms,1772987493694000000,1772987553999000000,66
workspaceModel.mutableEntityStorage.collect.changes.ms,1772987493694000000,1772987553999000000,2
workspaceModel.save.cache.to.file.ms,1772987493694000000,1772987553999000000,186
workspaceModel.mutableEntityStorage.replace.by.source.ms,1772987493694000000,1772987553999000000,71
workspaceModel.moduleManagerBridge.get.modules.ms,1772987493694000000,1772987553999000000,4
jps.global.initialize.library.bridges.after.loading.ms,1772987493694000000,1772987553999000000,1
jps.module.iml.entities.serializer.save.entities.ms,1772987493694000000,1772987553999000000,0
jps.project.serializers.load.ms,1772987493694000000,1772987553999000000,196
workspaceModel.mutableEntityStorage.entities.by.source.ms,1772987493694000000,1772987553999000000,2
workspaceModel.mutableEntityStorage.instances.count,1772987493694000000,1772987553999000000,28
workspaceModel.init.bridges.ms,1772987493694000000,1772987553999000000,9
workspaceModel.loading.from.cache.ms,1772987493694000000,1772987553999000000,779
workspaceModel.workspaceFileIndexData.getPackageName.ms,1772987493694000000,1772987553999000000,51
workspaceModel.workspaceFileIndexData.processFileSets.ms,1772987493694000000,1772987553999000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1772987493694000000,1772987553999000000,0
