# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
AWTEventQueue.dispatchTimeMaxNs,1772988926773000000,1772988984560000000,1249902591
NonBlockingReadAction.finalizedExecutionTimeUs,1772988926773000000,1772988984560000000,1608809
FlushQueue.queueSizeMax,1772988926773000000,1772988984560000000,222
FlushQueue.waitingTimeMaxNs,1772988926773000000,1772988984560000000,2415919103
FlushQueue.executionTimeAvgNs,1772988926773000000,1772988984560000000,3572770.619640387
NonBlockingReadAction.failedExecutionTimeUs,1772988926773000000,1772988984560000000,0
AWTEventQueue.eventsDispatched,1772988926773000000,1772988984560000000,4835
FlushQueue.queueSize90P,1772988926773000000,1772988984560000000,104
FlushQueue.queueSizeAvg,1772988926773000000,1772988984560000000,32.17600276625173
FlushQueue.tasksExecuted,1772988926773000000,1772988984560000000,2892
AWTEventQueue.dispatchTimeTotalNS,1772988926773000000,1772988984560000000,28552252170
FlushQueue.executionTimeMaxNs,1772988926773000000,1772988984560000000,1191182335
AWTEventQueue.dispatchTimeAvgNs,1772988926773000000,1772988984560000000,5905288.471561531
NonBlockingReadAction.finalizedExecutionsCount,1772988926773000000,1772988984560000000,5
FlushQueue.waitingTimeAvgNs,1772988926773000000,1772988984560000000,3.173535097842324E8
AWTEventQueue.dispatchTime90PNs,1772988926773000000,1772988984560000000,6914047
FlushQueue.executionTime90PNs,1772988926773000000,1772988984560000000,1523711
WriteAction.executionsCount,1772988926773000000,1772988984560000000,11
FlushQueue.waitingTime90PNs,1772988926773000000,1772988984560000000,1006632959
ReadAction.executionsCount,1772988926773000000,1772988984560000000,105540
NonBlockingReadAction.failedExecutionsCount,1772988926773000000,1772988984560000000,0
Indexing.writesQueuedMax,1772988926773000000,1772988984560000000,0
Indexes.entries.lookupDurationMaxMs,1772988926773000000,1772988984560000000,82.0
