# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.set.duration,1772988850966000000,1772988910988000000,37
cacheStateStorage.get.counter,1772988850966000000,1772988910988000000,23
cacheStateStorage.set.counter,1772988850966000000,1772988910988000000,3
cacheStateStorage.get.duration,1772988850966000000,1772988910988000000,313
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1772988850966000000,1772988910988000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1772988850966000000,1772988910988000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1772988850966000000,1772988910988000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1772988850966000000,1772988910988000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1772988850966000000,1772988910988000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1772988850966000000,1772988910988000000,0
compiler.ArtifactManagerBridge.commit.ms,1772988850966000000,1772988910988000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1772988850966000000,1772988910988000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1772988850966000000,1772988910988000000,0
JVM.maxHeapBytes,1772988850966000000,1772988910988000000,2147483648
JVM.totalTimeAtSafepointsMs,1772988850966000000,1772988910988000000,1462
JVM.GC.collectionTimesMs,1772988850966000000,1772988910988000000,1362
JVM.threadCount,1772988850966000000,1772988910988000000,129
JVM.totalTimeToSafepointsMs,1772988850966000000,1772988910988000000,269
JVM.GC.collections,1772988850966000000,1772988910988000000,48
OS.loadAverage,1772988850966000000,1772988910988000000,7.21533203125
MEM.fileMappingsRamBytes,1772988850966000000,1772988910988000000,274055168
MEM.ramPlusSwapMinusFileMappingsBytes,1772988850966000000,1772988910988000000,1131671552
JVM.usedHeapBytes,1772988850966000000,1772988910988000000,397554912
JVM.committedHeapBytes,1772988850966000000,1772988910988000000,513802240
MEM.ramMinusFileMappingsBytes,1772988850966000000,1772988910988000000,1085640704
MEM.ramBytes,1772988850966000000,1772988910988000000,1359781888
JVM.newThreadsCount,1772988850966000000,1772988910988000000,140
JVM.totalBytesAllocated,1772988850966000000,1772988910988000000,3353361984
JVM.usedNativeBytes,1772988850966000000,1772988910988000000,405432376
JVM.totalCpuTimeMs,1772988850966000000,1772988910988000000,182350
JVM.totalSafepointCount,1772988850966000000,1772988910988000000,195
JVM.maxThreadCount,1772988850966000000,1772988910988000000,130
JVM.totalDirectByteBuffersBytes,1772988850966000000,1772988910988000000,6893266
workspaceModel.on.changed.ms,1772988850966000000,1772988910988000000,247
workspaceModel.init.bridges.ms,1772988850966000000,1772988910988000000,45
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1772988850966000000,1772988910988000000,2600
workspaceModel.to.snapshot.ms,1772988850966000000,1772988910988000000,1
workspaceModel.cachedValueWithParameters.calculated.count,1772988850966000000,1772988910988000000,0
workspaceModel.check.recursive.update.ms,1772988850966000000,1772988910988000000,1
workspaceModel.workspaceFileIndexData.instances.count,1772988850966000000,1772988910988000000,1
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1772988850966000000,1772988910988000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1772988850966000000,1772988910988000000,100
workspaceModel.updates.count,1772988850966000000,1772988910988000000,3
workspaceModel.initializing.ms,1772988850966000000,1772988910988000000,45
workspaceModel.workspaceFileIndexData.processFileSets.ms,1772988850966000000,1772988910988000000,0
workspaceModel.cachedValueWithParameters.clear.count,1772988850966000000,1772988910988000000,0
workspaceModel.update.unloaded.entities.ms,1772988850966000000,1772988910988000000,0
workspaceModel.cachedValue.from.cache.count,1772988850966000000,1772988910988000000,87
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1772988850966000000,1772988910988000000,8
workspaceModel.full.replace.project.model.ms,1772988850966000000,1772988910988000000,16
workspaceModel.entityStorageSnapshotImpl.instances.count,1772988850966000000,1772988910988000000,20
workspaceModel.cachedValue.clear.count,1772988850966000000,1772988910988000000,0
workspaceModel.collect.changes.ms,1772988850966000000,1772988910988000000,0
workspaceModel.cachedValue.calculated.count,1772988850966000000,1772988910988000000,12
workspaceModel.cachedValueWithParameters.from.cache.count,1772988850966000000,1772988910988000000,0
workspaceModel.replace.project.model.ms,1772988850966000000,1772988910988000000,0
workspaceModel.on.before.changed.ms,1772988850966000000,1772988910988000000,269
workspaceModel.updates.precise.ms,1772988850966000000,1772988910988000000,72
workspaceModel.pre.handlers.ms,1772988850966000000,1772988910988000000,1
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1772988850966000000,1772988910988000000,980
workspaceModel.updates.ms,1772988850966000000,1772988910988000000,642
workspaceModel.cachedValue.total.get.count,1772988850966000000,1772988910988000000,99
workspaceModel.loading.from.cache.ms,1772988850966000000,1772988910988000000,1496
workspaceModel.cachedValueWithParameters.total.get.count,1772988850966000000,1772988910988000000,0
workspaceModel.workspaceFileIndexData.init.ms,1772988850966000000,1772988910988000000,160
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1772988850966000000,1772988910988000000,2
workspaceModel.workspaceFileIndexData.markDirty.ms,1772988850966000000,1772988910988000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1772988850966000000,1772988910988000000,305
workspaceModel.loading.total.ms,1772988850966000000,1772988910988000000,1571
parser.JAVA.size.bytes,1772988850966000000,1772988910988000000,227344
lexer.JAVA.size.bytes,1772988850966000000,1772988910988000000,225718
writeAction.median.wait.ms,1772988850966000000,1772988910988000000,100
lexer.JAVA.time.ns,1772988850966000000,1772988910988000000,33234896
writeAction.max.wait.ms,1772988850966000000,1772988910988000000,132
writeAction.wait.ms,1772988850966000000,1772988910988000000,188
DiskQueryRelay.taskExecutionTotalTimeUs,1772988850966000000,1772988910988000000,2260883
DiskQueryRelay.taskWaitingTotalTimeUs,1772988850966000000,1772988910988000000,7326170
parser.JAVA.time.ns,1772988850966000000,1772988910988000000,498842418
DiskQueryRelay.tasksExecuted,1772988850966000000,1772988910988000000,3390
writeAction.count,1772988850966000000,1772988910988000000,11
